id,dataHoraInicio,dataHoraFim,descricao,descricaoTipo,situacao,id_orgao_organizador
76420,2025-05-21T10:31:00.000Z,2025-05-21T10:56:00.000Z,"Eleição para vice-presidentes
 Eleição para Vice-Presidentes da CVT


.  Para o cargo de 1º Vice-Presidente:

.  Rosana Valle (PL/SP) 


. Para o cargo de 2º Vice-Presidente:

. Marangoni (UNIÃO/SP)",Reunião de Eleição,Encerrada,2016
76245,2025-05-27T12:24:00.000Z,2025-05-27T13:24:00.000Z,"Homenagem ao Dia Nacional de Combate ao Glaucoma
 Homenagem à Data Nacional de Combate ao Glaucoma",Sessão Não Deliberativa Solene,Encerrada,180
76308,2025-05-26T14:41:00.000Z,2025-05-26T18:20:00.000Z,"Debate sobre concessão da COMPESA
 (Requerimentos Nº 27/2025/CTRAB, do Deputado Túlio Gadelha)          


CONVIDADOS


ALEX MACHADO CAMPOS 
Diretor-Presidente da COMPESA

ROSANE NUNES PATARRA
Diretora de Gestão Corporativa da COMPESA

CARLOS PORTO FILHO 
Representante da Agência de Regulação de Pernambuco - ARPE 

JOSÉ GOMES BARBOSA
Representante do SINDURB-PE

JOSÉ ALMIR CIRILO
Secretário de Recursos Hídricos e Saneamento do Governo do Estado de Pernambuco

RODRIGO RIBEIRO QUEIROZ
Secretário de Projetos Estratégicos do Governo do Estado de Pernambuco

DEPUTADO FEDERAL PEDRO CAMPOS (PSB)
Membro Titular da Comissão de Constituição, Justiça e de Cidadania (CCJC)

DEPUTADO ESTADUAL WANDERSON FLORÊNCIO (Solidariedade)
Membro da Comissão de Meio Ambiente da ALEPE

SOCORRO MAIA                                                                                                                                                         Representante da Fundação Compesa de Previdência e Assistência - CompesaPrev

TÚLIO VILAÇA 
Secretário da Casa Civil  do Governo do Estado de Pernambuco",Debate,Encerrada (Final),2015
76469,2025-05-26T09:00:00.000Z,2025-05-26T13:29:00.000Z,"Plano Nacional de Educação
 Seminário Estadual sobre o Plano Nacional de Educação no Paraná

Mesa de Abertura: 

- DEPUTADO ESTADUAL ALEXANDRE CURI, Presidente da Assembleia Legislativa do Paraná;
- DEPUTADO ESTADUAL PROFESSOR LEMOS, Presidente da Comissão de Direitos Humanos e da Cidadania da Assembleia Legislativa do Paraná;
- DEPUTADO FEDERAL PEDRO UCZAI, Primeiro Vice-Presidente da Comissão; 
- DEPUTADO FEDERAL DIEGO GARCIA;
- DEPUTADO FEDERAL ZECA DIRCEU;
- DEPUTADA FEDERAL CAROL DARTORA;
- DEPUTADO FEDERAL TADEU VENERI;
- RONI MIRANDA, Secretário Estadual de Educação do Paraná.

Exposições Técnicas: 

- WALKIRIA OLEGARIO MAZETO, Presidenta da APP Sindicato - Sindicato dos Professores e Funcionários de Escola do Paraná;
- AMANDA BUENO, Diretora Executiva do Centro de Diagnóstico e Intervenção do Neurodesenvolvimento - CEDIN;
- BELMIRO MARCOS BELONI, Doutor em Ensino de Ciência e Tecnologia pela Universidade Tecnológica Federal do Paraná.


Req. 28/2025 do Dep. Federal Moses Rodrigues e outros",Seminário,Encerrada (Final),539777
76485,2025-05-28T14:12:00.000Z,2025-05-28T15:02:00.000Z,Discussão e votação de propostas legislativas.,Reunião Deliberativa,Encerrada (Final),536996
76493,2025-05-28T15:15:00.000Z,2025-05-28T15:28:00.000Z,Discussão e votação de propostas legislativas,Reunião Deliberativa,Encerrada (Final),5438
76552,2025-05-28T13:46:00.000Z,2025-05-28T14:27:00.000Z,"TRIBUNA DAS MULHERES- Dia Nacional de Redução da Mortalidade Materna
 28 de maio - Dia Nacional de Redução da Mortalidade Materna.



Convidadas:

Priscilla Caroline de Sousa Brito, Assessora Técnica da Coordenação-Geral de Atenção à Saúde das Mulheres - CGESMU/DGCI/SAPS/MS;
 

Ana Maria Costa, representante do Centro Brasileiro de Estudos de Saúde;

Josilene dos Santos, Coordenadora -Geral de Ações Temáticas e Diversidade do Ministério das Mulheres.



Requerimento nº 16/2024-CMulher, de autoria da Deputada Célia Xakriabá",Reunião Técnica,Encerrada (Final),537870
76625,2025-05-30T09:22:00.000Z,2025-05-30T09:26:00.000Z,"Discussão e votação de propostas legislativas
 Deliberação de requerimentos",Reunião Deliberativa,Encerrada (Final),539772
75390,2025-02-19T15:53:00.000Z,2025-02-19T15:57:00.000Z,"Votação de requerimentos
 Deliberação de Requerimentos (estão sujeitos a pauta os requerimentos apresentados até 24h antes do horário da reunião):",Reunião Deliberativa,Encerrada,539407
75395,2025-02-11T14:02:00.000Z,2025-02-11T21:26:00.000Z,Sessão Deliberativa Extraordinária Presencial (AM nº 123/2020),Sessão Deliberativa,Encerrada,180
75397,2025-02-12T14:11:00.000Z,2025-02-12T15:43:00.000Z,Debater o orçamento destinado a programações e políticas públicas para as mulheres,Audiência Pública,Encerrada,6855
75438,2025-03-18T09:13:00.000Z,2025-03-18T10:44:00.000Z,"Homenagem ao Dia do Clínico
 Homenagem ao Dia do Clínico",Sessão Não Deliberativa Solene,Encerrada,180
75444,2025-02-25T13:55:00.000Z,2025-02-25T22:49:00.000Z,Sessão Deliberativa Extraordinária Presencial (AM nº 123/2020),Sessão Deliberativa,Encerrada,180
75487,2025-03-13T17:10:00.000Z,2025-03-13T19:00:00.000Z,"Reunião com a Associação dos Atingidos pela Tragédia do Estado.
 Tema: Reunião com a Associação dos Atingidos pela Tragédia ocorrida no Estado do Rio Grande do Sul.

Participantes:

ALEXANIA ROSSATO, Movimento dos Atingidos por Barragens


LEONARDO BAUER MAGGI, Movimento dos Atingidos por Barragens


TATIANE PAULINO, Movimento dos Atingidos por Barragens


MARIA APARECIDA LUGE CASTILHOS, Movimento dos Atingidos por Barragens


ANY MORAES, Marcha Mundias de Mulheres

DRIKA CORNONET, Marcha Mundial de Mulheres


DANI ROSA, Marcha Mundial de Mulheres

PATRÍCIA BARGMANN, Ação da Cidadania/RS


GERSON ANTÔNIO BARBOSA BORGES, Movimento dos Pequenos Agricultores

JACIRA DIAS RUIZ, Caritas/RS

CAIO BELLOTI DE ALMEIDA, Movimento dos Trabalhadores sem Teto

LURDES SANTIN, Movimento dos Trabalhadores por Direitos

MARIANE FRIEDRICH, Moradora do Bairro Sarandi

KATIA COSTA, Moradora do Bairro Sarandi

(Requerimento nº 16/2024, do Dep. Gilson Daniel)",Visita Técnica,Encerrada (Final),539635
75489,2025-03-14T14:50:00.000Z,2025-03-14T16:45:00.000Z,"Levantar as soluções que estão sendo implementadas pelo Rio Grande do Sul para mitigar os impactos do desastre e melhorar a capacidade de resposta a futuras emergências.
 Tema: Levantar as soluções que estão sendo implementadas pelo Rio Grande do Sul para mitigar os impactos do desastre e melhorar a capacidade de resposta a futuras emergências.

Participantes:

EDUARDO LEITE, Governador do Rio Grande do Sul;


MARJORIE KAUFFMANN, Secretária de Estado do Meio Ambiente e Infra estrutura;

Coronel LUCIANO CHAVES BOEIRA, Casa Militar e Coordenador da Defesa Civil;

SANDRO CARON, Secretário de Estado de Segurança Pública;

SIMONE STÜLP, Secretária de Estado da Inovação, Ciência e Tecnologia;

DANIELLE CALAZANS, Secretária de Estado do Planejamento, Governança e Gestão;

ÂNGELA DE OLIVEIRA, Secretária de Estado Adjunta da Reconstrução Gaúcha;

GUSTAVO SALDANHA, Secretário de Estado Adjunto do Desenvolvimento Social.

(Requerimento nº 16/2024, do Dep. Gilson Daniel)",Visita Técnica,Encerrada (Final),539635
75629,2025-03-19T14:33:00.000Z,2025-03-19T16:30:00.000Z,Instalação e Eleição do Presidente e Vice-Presidentes da CSPCCO,Reunião de Instalação e Eleição,Encerrada (Final),5503
75633,2025-03-19T14:26:00.000Z,2025-03-19T15:22:00.000Z,Reunião de instação e eleição,Reunião de Instalação e Eleição,Encerrada (Final),539386
