id,codTipoOrgao,nome,nomePublicacao,apelido,sigla,tipoOrgao
5936,9,"Altera o art. 5º da Lei nº 8.427, de 27 de maio de 1992, que dispõe sobre a concessão de subvenção econômica na operação de crédito rural.",MPV80,MPV80,MPV08002,Comissão Medida Provisória
5306,11,"Dispõe sobre o Conselho de Altos Estudos e Avaliação Tecnológica, de que trata o artigo 275 do Regimento Interno.",CONSELHO DE ALTOS ESTUDOS E AVALIAÇÃO TECNOLOGICA,CONSELHO DE ALTOS ESTUDOS E AVALIAÇÃO TECNOLOGICA,COESTUDO,Conselho
5573,9,"Dispõe sobre a estruturação da Carreira de Perito Federal Agrário, a criação da Gratificação de Desempenho de Atividade de Perito Federal Agrário - GDAPA e da Gratificação Especial de Perito Federal Agrário - GEPRA, e dá outras providências.",MPV47,MPV47,MPV04702,Comissão Medida Provisória
5576,9,"Abre, em favor de operações Oficiais de Crédito, crédito extraordinário no valor de R$ 380.905.883,00, para os fins que especifica.",MPV50,MPV50,MPV05002,Comissão Medida Provisória
5577,9,"Dispõe sobre a criação de cargos de Guarda de Polícia Federal e de Analista de Informações Policiais no Quadro de Pessoal do Departamento de Polícia Federal, e de Direção e Assessoramento Superiores no âmbito da Administração Pública Federal, e dá outras providências.",MPV51,MPV51,MPV05102,Comissão Medida Provisória
5580,9,"Abre crédito extraordinário, em favor do Ministério da Integração Nacional, no valor de R$.36.365.000,00, para os fins que especifica.",MPV54,MPV54,MPV05402,Comissão Medida Provisória
5603,9,"Altera a Lei nº 7.998, de 11 de janeiro de 1990, para assegurar o pagamento de seguro-desemprego ao trabalhador resgatado da condição análoga à de escravo.",MPV74,MPV74,MPV07402,Comissão Medida Provisória
5606,9,"Altera as Leis nº 10.464, de 24 de maio de 2002, 10.177, de 12 de janeiro de 2001, e 10.437, de 25 de abril de 2002; autoriza a concessão de crédito, com recursos dos Fundos Constitucionais de Financiamento do Norte, Nordeste e Centro-Oeste, para aquisição dos títulos do Tesouro Nacional necessários à contratação de operação na forma da Resolução nº 2.471, de 26 de fevereiro de 1968, do Conselho Monetário Nacional, relacionada com dívidas contraídas com recursos de outras fontes; dispõe sobre reconversão de atividades de mutuários com dívidas junto a bancos oficiais federais; e dá outras providências.",MPV77,MPV77,MPV07702,Comissão Medida Provisória
5937,9,"Abre crédito extraordinário, em favor de encargos financeiros da União e Refinanciamento da Dívida Mobiliária Federal, no valor global de R$17.084.740.385,00, para os fins que especifica.",MPV81,MPV81,MPV08102,Comissão Medida Provisória
5566,9,"Altera a Lei nº 10.147, de 21 de dezembro de 2000, que dispõe sobre a incidência da contribuição para os Programas de Integração Social e de Formação do Patrimônio - PIS-Pasep e da Contribuição para o Financiamento da Seguridade Social - Cofins, nas operações de venda dos produtos que especifica, e dá outras providências.",MPV41,MPV41,MPV04102,Comissão Medida Provisória
5600,9,"Altera disposições das Leis nº 9.028, de 12 de abril de 1995, e 10.480, de 2 de julho de 2002, da Medida Provisória nº 2.229-43, de 6 de setembro de 2001, dispõe sobre a Secretaria da Receita Federal, e dá outras providências.",MPV71,MPV71,MPV07102,Comissão Medida Provisória
5602,9,"Revoga o art. 12 da Medida Provisória nº 66, de 29 de agosto de 2002.",MPV73,MPV73,MPV07302,Comissão Medida Provisória
5934,9,Autoriza o Poder Executivo a doar à República do Paraguai vacinas e equipamentos indispensáveis ao combate à febre aftosa.,MPV78,MPV78,MPV07802,Comissão Medida Provisória
5938,9,"Dispõe sobre a transferência da União para os Estados e o Distrito Federal de parte da malha rodoviária sob jurisdição federal, nos casos que especifica, e dá outras providências.",MPV82,MPV82,MPV08202,Comissão Medida Provisória
4,1,Mesa Diretora da Câmara dos Deputados,Mesa Diretora,Mesa Diretora,MESA,Comissão Diretora
2011,2,Comissão de Fiscalização Financeira e Controle,Comissão de Fiscalização Financeira e Controle,Fiscalização Financeira e Controle,CFFC,Comissão Permanente
5438,2,Comissão de Legislação Participativa,Comissão de Legislação Participativa,Legislação Participativa,CLP,Comissão Permanente
5450,7,"Comissão de Sindicância destinada a examinar denúncias oferecidas contra a CPI destinada a ""investigar as possíveis irregularidades atentatórias aos Princípios Constitucionais da legalidade, da moralidade administrativa e da economicidade, nas obras iniciadas e não concluídas e os bens imóveis que não estão sendo utilizados, ou utilizados inadequadamente pela administsração federal"". (Obras Inacabadas)",SINDICANCIA CPI OBRAS,SINDICANCIA CPI OBRAS,SINDOBRA,Comissão de Sindicância
5470,1,Primeira Secretaria,1ª Secretaria da Câmara dos Deputados,1ª Secretaria,1SECM,Comissão Diretora
5571,9,"Altera a Lei nº 9.650, de 27 de maio de 1998, que dispõe sobre o Plano de Carreira dos servidores do Banco Central do Brasil, e dá outras providências",MPV45,MPV45,MPV04502,Comissão Medida Provisória
5574,9,"Dispõe sobre a criação da Gratificação de Desempenho de Atividade de Controle e Segurança de Tráfego Aéreo - GDASA e da Gratificação Especial de Controle do Tráfego Aéreo - GECTA, e dá outras providências.",MPV48,MPV48,MPV04802,Comissão Medida Provisória
5605,9,"Dispõe sobre a instituição de equipe de transição pelo candidato eleito para o cargo de Presidente da República, cria cargos em comissão, e dá outras providências.",MPV76,MPV76,MPV07602,Comissão Medida Provisória
2003,2,Comissão de Constituição e Justiça e de Cidadania,Comissão de Constituição e Justiça e de Cidadania,Constituição e Justiça e de Cidadania,CCJC,Comissão Permanente
2017,2,Comissão de Integração Nacional e Desenvolvimento Regional,Comissão de Integração Nacional e Desenvolvimento Regional,Integração Nacional e Desenvolvimento Regional,CINDRE,Comissão Permanente
2342,81002,Comissão Mista de acompanhamento das medidas relacionadas ao coronavírus (Covid-19),Comissão Mista de acompanhamento das medidas relacionadas ao coronavírus (Covid-19),Comissão Mista de acompanhamento das medidas relacionadas ao coronavírus (Covid-19),CN-Covid19,Comissão Mista
5473,1,Quarta Secretaria,4ª Secretaria da Câmara dos Deputados,4ª Secretaria,4SECM,Comissão Diretora
5552,9,"Dispõe sobre a estruturação de órgãos, cria cargos em comissão no âmbito do Poder Executivo Federal, e dá outras providências.",MPV37,MPV37,MPV03702,Comissão Medida Provisória
5607,9,Autoriza o Poder Executivo a doar à República do Paraguai vacinas e equipamentos indispensáveis ao combate à febre aftosa.,MPV78,MPV78,MPV07802,Comissão Medida Provisória
2006,2,Comissão de Desenvolvimento Urbano,Comissão de Desenvolvimento Urbano,Desenvolvimento Urbano,CDU,Comissão Permanente
5553,9,"Dispõe sobre o parcelamento de débitos tributários de Estados, do Distrito Federal, de Municípios e de empresas públicas e privadas em processo de falência ou de liquidação, institui regime especial de parcelamento da contribuição para o Programa de Formação do Patrimônio do Servidor Público - PASEP, restabelece prazos para pagamento de débitos tributários, inclusive do imposto de renda incidente sobre lucro inflacionário, concede benefícios fiscais à instalação, ampliação ou modernização de unidades industriais e tratamento tributário isonômico entre produção nacional e a importação de papel-jornal, altera a legislação aduaneira e a relativa à cobrança de direitos antidumping e compensatórios, e dá outras providências.",MPV38,MPV38,MPV03802,Comissão Medida Provisória
5579,9,"Revoga os arts. 27, 28 e 29 da Medida Provisória nº 51, de 4 de julho de 2002, que dispõe sobre a criação de cargos de Guarda da Polícia Federal e de Analista de Informações Policiais no Quadro de Pessoal do Departamento de Polícia Federal, e de Direção e Assessoramento Superiores no âmbito da Administração Pública Federal.",MPV53,MPV53,MPV05302,Comissão Medida Provisória
5581,9,"Autoriza condições especiais para o crédito de valores iguais ou inferiores a R$100,00, de que trata a Lei Complementar nº 110, de 29 de junho de 2001, e dá outras providências.",MPV55,MPV55,MPV05502,Comissão Medida Provisória
5585,9,"Dispõe sobre a utlização das fontes de recursos existentes no Tesouro Nacional no encerramento do exercício financeiro de 2001, e dá outras providências.",MPV59,MPV59,MPV05902,Comissão Medida Provisória
5586,9,"Abre, em favor de Encargos Financeiros da União, crédito extraordinário no valor de R$7.000.000.000,00, para os fins que especifica.",MPV60,MPV60,MPV06002,Comissão Medida Provisória
