id,idLegislatura,titulo
55629,57,Frente Parlamentar em Defesa dos Profissionais do Sistema Socioeducativo
55621,57,Frente Parlamentar Mista em Defesa do Empreendedorismo Rural
55603,57,Frente Parlamentar em Defesa dos Profissionais da Dança
54561,57,Frente Parlamentar Mista em Defesa do Serviço Público
55573,57,Frente Parlamentar em Defesa da Arte e Cultura Periférica
54557,57,Frente Parlamentar em Defesa da Educação Sem Doutrinação Ideológica - FPDE
54555,57,Frente Parlamentar do MERCOSUL
55688,57,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
55692,57,Frente Parlamentar em Defesa da Oftalmologia - FPOF
55572,57,Frente Parlamentar Mista da Mulher Catadora
55705,57,Frente Parlamentar em Defesa da Ética na Saúde Suplementar
55637,57,Frente Parlamentar da Influência Digital (FRENID)
55581,57,Frente Parlamentar Mista pelo Fortalecimento das Relações Comerciais Brasil-Texas
55584,57,Frente Parlamentar Mista da Hotelaria Brasileira
54537,57,Frente Parlamentar Mista de Combate às Drogas
54560,57,"Frente Parlamentar Mista em Defesa da Criança, do Adolescentes e dos Conselhos Tutelares"
54559,57,Frente Parlamentar Mista em Defesa da Desoneração da Folha de Pagamento
54545,57,Frente Parlamentar Mista da Economia Verde
54548,57,"Frente Parlamentar da Engenharia, Infraestrutura e Desenvolvimento Nacional"
55644,57,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
55711,57,Frente Parlamentar Mista do Ambiente de Negócios (FPN)
55708,57,Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial
55680,57,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo
55701,57,Frente Parlamentar Brasil - Israel
55700,57,Frente Parlamentar Mista pela Integração Sul-Americana
55672,57,Frente Parlamentar da Baixada Fluminense do Rio de Janeiro
55649,57,Frente Parlamentar Mista pela Valorização do Serviço Social
55653,57,Frente Parlamentar Mista dos Correspondentes Bancários
55625,57,Frente Parlamentar em Defesa das Pessoas com Doenças Reumáticas
55604,57,Frente Parlamentar Mista em Apoio ao Acolhimento Humanitário de Migrantes Transnacionais e Refugiados
55607,57,Frente Parlamentar da Neurodiversidade
55594,57,"Frente Parlamentar Mista de Fiscalização, Integridade e Transparência - FIT"
55587,57,Frente Parlamentar Mista em Defesa da Exploração de Petróleo na Margem Equatorial do Brasil
54553,57,Frente Parlamentar Mista em Defesa do Patrimônio Histórico e Cultural Brasileiro
