id_frente,id_deputado,nome_deputado,partido,uf
53926,160587,Fábio Trad,null,MS
53926,66828,Fausto Pinato,PP,SP
53926,74419,Gonzaga Patriota,null,PE
53926,204576,João Roma,null,BA
53926,204497,Júnior Ferrari,PSD,PA
53926,178832,Leandre,PSD,PR
53926,204433,Marcelo Calero,null,RJ
53926,73788,Ricardo Barros,PP,PR
53926,197438,Tito,null,BA
53927,141391,Arnaldo Jardim,CIDADANIA,SP
53927,160512,Aureo Ribeiro,SOLIDARIEDADE,RJ
53927,141405,Celso Maldaner,null,SC
53927,204512,Delegado Marcelo Freitas,UNIÃO,MG
53927,132504,Enio Verri,null,PR
53927,74317,Júlio Cesar,PSD,PI
53927,204520,Junio Amaral,PL,MG
53927,204425,Silvio Costa Filho,REPUBLICANOS,PE
53927,141555,Vinicius Carvalho,PL,SP
53928,204370,Célio Moura,null,TO
53928,178908,Delegado Éder Mauro,PL,PA
53928,198783,Emanuel Pinheiro Neto,PSD,MT
53928,178871,Evair Vieira de Melo,PP,ES
53928,204408,Gustinho Ribeiro,PP,SE
53928,204456,Gutemberg Reis,MDB,RJ
53928,178843,Marx Beltrão,PP,AL
53928,122974,Pedro Lucas Fernandes,UNIÃO,MA
53928,73604,Rui Falcão,PT,SP
53928,204416,Sanderson,PL,RS
53928,178947,Sóstenes Cavalcante,PL,RJ
53928,178889,Zé Carlos,null,MA
53933,204374,Bia Kicis,PL,DF
53933,141513,Bilac Pinto,null,MG
53933,204370,Célio Moura,null,TO
53933,204513,Guiga Peixoto,null,SP
53933,178842,Jhc,null,AL
53933,74554,José Rocha,UNIÃO,BA
53933,178954,Lucio Mosquini,PL,RO
53933,178987,Orlando Silva,PCdoB,SP
53933,141516,Paulo Abi-Ackel,PSDB,MG
53933,160655,Ricardo Izar,null,SP
53933,178861,Ronaldo Carletto,null,BA
53933,90842,Santini,null,RS
53933,141553,Vanderlei Macris,null,SP
53934,160600,Arthur Oliveira Maia,UNIÃO,BA
53934,160528,Danilo Cabral,null,PE
53934,160575,Erika Kokay,PT,DF
53934,204372,Julio Cesar Ribeiro,REPUBLICANOS,DF
53934,98057,Lafayette de Andrada,PL,MG
53934,74156,Leonardo Monteiro,PT,MG
53934,141516,Paulo Abi-Ackel,PSDB,MG
53934,160639,Professora Dorinha Seabra Rezende,null,TO
53934,178874,Sergio Vidigal,null,ES
53934,204425,Silvio Costa Filho,REPUBLICANOS,PE
53934,178952,Walter Alves,null,RN
53935,178927,Aliel Machado,PV,PR
53935,204515,André Janones,REDE,MG
53935,178993,Carlos Henrique Gaguim,UNIÃO,TO
53935,74655,Eduardo Barbosa,null,MG
53935,204550,Júnior Mano,PSB,CE
53935,204375,Leda Sadala,null,AP
53935,178858,Mário Negromonte Jr.,PSB,BA
53935,178895,Misael Varella,PSD,MG
53935,178986,Nilto Tatto,PT,SP
53935,178951,Rafael Motta,null,RN
53935,160653,Roberto de Lucena,null,SP
53935,141555,Vinicius Carvalho,PL,SP
53936,204423,André Ferreira,PL,PE
53936,160758,Domingos Sávio,PL,MG
53936,134812,Edmilson Rodrigues,null,PA
53936,204576,João Roma,null,BA
53936,74299,Leônidas Cristino,null,CE
53936,204471,Mara Rocha,null,AC
53936,141488,Paulo Teixeira,PT,SP
53936,160639,Professora Dorinha Seabra Rezende,null,TO
53936,73808,Sérgio Brito,PSD,BA
53936,204425,Silvio Costa Filho,REPUBLICANOS,PE
53937,160600,Arthur Oliveira Maia,UNIÃO,BA
53937,204352,Camilo Capiberibe,null,AP
53937,143632,Domingos Neto,PSD,CE
53937,178997,Moses Rodrigues,UNIÃO,CE
53937,90842,Santini,null,RS
53937,160569,Waldenor Pereira,PT,BA
53915,160527,Aguinaldo Ribeiro,PP,PB
53915,204397,Boca Aberta,null,PR
53915,160538,Bohn Gass,PT,RS
53915,204352,Camilo Capiberibe,null,AP
53915,135054,Cristiano Vale,null,PA
53915,143632,Domingos Neto,PSD,CE
53915,141417,Edio Lopes,null,RR
53915,160587,Fábio Trad,null,MS
53915,141431,Fernando Coelho Filho,UNIÃO,PE
53915,67138,Iracema Portella,null,PI
53915,150418,Márcio Marinho,REPUBLICANOS,BA
53915,204522,Marco Bertaiolli,null,SP
53915,154178,Milton Vieira,REPUBLICANOS,SP
53915,74571,Nelson Pellegrino,null,BA
53915,178912,Pedro Cunha Lima,null,PB
53915,122158,Pedro Paulo,PSD,RJ
53915,73466,Rubens Bueno,null,PR
53915,204464,Talíria Petrone,PSOL,RJ
53915,160976,Tiririca,PSD,SP
53915,74043,Wellington Roberto,PSD,PB
53915,204463,Wladimir Garotinho,null,RJ
53924,160559,Alceu Moreira,MDB,RS
53924,178927,Aliel Machado,PV,PR
53924,178937,Altineu Côrtes,PL,RJ
53924,178882,André Fufuca,PP,MA
53924,178948,Beto Rosado,null,RN
53924,204397,Boca Aberta,null,PR
53924,204496,Celso Sabino,PDT,PA
53924,74467,Damião Feliciano,UNIÃO,PB
53924,204454,Daniel Silveira,null,RJ
53924,160528,Danilo Cabral,null,PE
53924,178871,Evair Vieira de Melo,PP,ES
53924,204494,Fred Costa,PRD,MG
53924,204491,Gilberto Abramo,REPUBLICANOS,MG
53924,178909,Hélio Leite,null,PA
53924,74317,Júlio Cesar,PSD,PI
53924,74299,Leônidas Cristino,null,CE
53924,204469,Manuel Marcos,null,AC
53924,74398,Maria do Rosário,PT,RS
