id,nome,siglaPartido,siglaUF,idLegislatura
74554,José Rocha,UNIÃO,BA,57
204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,57
74253,Julio Lopes,PP,RJ,57
74856,Laura Carneiro,PSD,RJ,57
178832,Leandre,PSD,PR,57
220616,Luciano Vieira,PSDB,RJ,57
74041,Luiz Couto,PT,PB,57
74158,Mário Heringer,PDT,MG,57
204441,Otoni de Paula,PSD,RJ,57
141516,Paulo Abi-Ackel,PSDB,MG,57
160558,Paulo Freire Costa,PL,SP,57
220685,Paulo Litro,UNIÃO,PR,57
122158,Pedro Paulo,PSD,RJ,57
74084,Raimundo Santos,PSD,PA,57
153423,Renilce Nicodemos,MDB,PA,57
226837,Saulo Pedroso,PSD,SP,57
73808,Sérgio Brito,PSD,BA,57
220682,Tadeu Veneri,PT,PR,57
234673,Vanderlan Alves,SOLIDARIEDADE,CE,57
74043,Wellington Roberto,PSD,PB,57
204378,Coronel Chrisóstomo,PL,RO,57
220539,Defensor Stélio Dener,UNIÃO,RR,57
220691,Diego Coronel,REPUBLICANOS,BA,57
220663,Eriberto Medeiros,PSB,PE,57
204368,Fabio Schiochet,UNIÃO,SC,57
66828,Fausto Pinato,PP,SP,57
220646,Felipe Becari,PODE,SP,57
204427,Fernando Rodolfo,PRD,PE,57
220700,Florentino Neto,PT,PI,57
107283,Gleisi Hoffmann,PT,PR,57
204508,Igor Timo,PSD,MG,57
220567,Jeferson Rodrigues,PSDB,GO,57
141459,João Maia,PP,RN,57
141464,José Airton Félix Cirilo,PT,CE,57
204520,Junio Amaral,PL,MG,57
162067,Kiko Celeguim,PT,SP,57
220648,Marangoni,UNIÃO,SP,57
171786,Miguel Ângelo,PT,MG,57
209787,Nikolas Ferreira,PL,MG,57
235088,Ribeiro Neto,SOLIDARIEDADE,MA,57
73788,Ricardo Barros,PP,PR,57
74371,Rubens Otoni,PT,GO,57
220618,Sargento Portugal,PODE,RJ,57
178992,Vitor Lippi,PSD,SP,57
204559,Zé Neto,PT,BA,57
204560,Adolfo Viana,PSDB,BA,57
136811,Afonso Hamm,PP,RS,57
107970,Ana Paula Leão,PP,MG,57
220635,Bruno Ganem,PODE,SP,57
220590,Coronel Ulysses,UNIÃO,AC,57
204409,Daniel Trzeciak,PSDB,RS,57
220565,Delegada Adriana Accorsi,PT,GO,57
73768,Dilceu Sperafico,PP,PR,57
220674,Dra. Alessandra Haber,PODE,PA,57
178871,Evair Vieira de Melo,PP,ES,57
191923,Flávio Nogueira,PT,PI,57
204456,Gutemberg Reis,MDB,RJ,57
160674,Hugo Motta,REPUBLICANOS,PB,57
204404,Lucas Redecker,PSD,RS,57
73778,Luiz Carlos Hauly,PODE,PR,57
162332,Luiz Nishimori,PSD,PR,57
204506,Marcos Pereira,REPUBLICANOS,SP,57
204486,Mauro Benevides Filho,UNIÃO,CE,57
204453,Natália Bonavides,PT,RN,57
171617,Paulão,PT,AL,57
160604,Pedro Uczai,PT,SC,57
233594,Rafael Fera,PODE,RO,57
73801,Renildo Calheiros,PCdoB,PE,57
220597,Thiago Flores,UNIÃO,RO,57
160976,Tiririca,PSD,SP,57
74646,Aécio Neves,PSDB,MG,57
204501,Alencar Santana,PT,SP,57
160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,57
204374,Bia Kicis,PL,DF,57
178993,Carlos Henrique Gaguim,UNIÃO,TO,57
220666,Coronel Meira,PL,PE,57
220602,Dimas Gadelha,PT,RJ,57
204518,Dr. Frederico,PRD,MG,57
220570,Dr. Ismael Alexandrino,PSD,GO,57
220645,Erika Hilton,PSOL,SP,57
204445,Fernando Mineiro,PT,RN,57
141458,João Carlos Bacelar,PL,BA,57
230957,João Cury,MDB,SP,57
74079,José Priante,MDB,PA,57
74317,Júlio Cesar,PSD,PI,57
204497,Júnior Ferrari,PSD,PA,57
80815,Leo Prates,PDT,BA,57
220662,Lucas Ramos,PSB,PE,57
141487,Luiz Fernando Faria,UNIÃO,MG,57
220637,Marina Silva,REDE,SP,57
220655,Mario Frias,PL,SP,57
220609,Maurício Carvalho,UNIÃO,RO,57
220607,Max Lemos,PDT,RJ,57
160517,Paulo Folletto,PSB,ES,57
