id,aprovacao,data,dataHoraRegistro,descricao,proposicaoObjeto,siglaOrgao
2539320-13,1,2026-04-22,2026-04-22T21:52:55.000Z,"Realizar o encaminhamento do PLP-158/2025 à CASP (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2609070-7,1,2026-04-22,2026-04-22T21:52:54.000Z,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",REQ 1425/2026,PLEN
2368697-43,0,2026-04-22,2026-04-22T21:01:12.000Z,Rejeitado o Requerimento. Sim: 120; Não: 270; Total: 390.,null,PLEN
2233802-72,1,2026-04-22,2026-04-22T17:02:08.000Z,Aprovado o Parecer.,null,CCJC
530513-106,1,2026-04-17,2026-04-17T10:51:40.000Z,"Aprovado o Substitutivo ao Projeto de Lei nº 2.879, de 2011, da Comissão de Viação e Transportes.",null,PLEN
2266116-123,0,2026-04-16,2026-04-16T11:10:37.000Z,Rejeitado o Requerimento.,null,PLEN
2139808-110,1,2026-04-16,2026-04-16T10:44:13.000Z,"Aprovadas as Emendas do Senado Federal ao Projeto de Lei nº 7.750, de 2017.",null,PLEN
2608575-64,1,2026-04-15,2026-04-15T21:50:20.000Z,"Aprovado o Projeto de Lei Complementar nº 55, de 2026. Sim: 342; Não: 39; Total: 381.",null,PLEN
2495726-47,1,2026-04-15,2026-04-15T21:32:41.000Z,"Aprovado o Projeto de Lei nº 2.083, de 2022.",null,PLEN
2613522-8,1,2026-04-15,2026-04-15T20:48:58.000Z,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",REQ 1886/2026,PLEN
