id_deputado,nome_deputado,partido,uf,total_sessoes,presencas_reais,score_engajamento
204540,Maria Rosas,REPUBLICANOS,SP,3,0,0
160601,Pr. Marco Feliciano,PL,SP,3,0,0
175765,Ribamar Silva,PSD,SP,3,0,0
220664,Guilherme Uchoa,PSD,PE,3,0,0
141459,João Maia,PP,RN,3,0,0
204445,Fernando Mineiro,PT,RN,3,0,0
178943,Marcos Soares,PSDB,RJ,3,0,0
220570,Dr. Ismael Alexandrino,PSD,GO,3,0,0
204549,AJ Albuquerque,PP,CE,3,0,0
160673,Giovani Cherini,PL,RS,3,0,0
220557,Daniela Reinehr,PL,SC,3,0,0
204496,Celso Sabino,PDT,PA,3,0,0
74262,Carlos Sampaio,PSD,SP,3,0,0
204406,Pedro Westphalen,PP,RS,3,0,0
74374,Geraldo Resende,PSDB,MS,3,0,0
220701,Delegado Matheus Laiola,UNIÃO,PR,3,0,0
220588,Roberto Duarte,REPUBLICANOS,AC,3,0,0
220564,Yandra Moura,UNIÃO,SE,3,0,0
204411,Filipe Barros,PL,PR,3,0,0
204512,Delegado Marcelo Freitas,UNIÃO,MG,3,0,0
220605,Bandeira de Mello,PV,RJ,3,0,0
160629,Romero Rodrigues,PODE,PB,3,0,0
160604,Pedro Uczai,PT,SC,3,0,0
74057,Alice Portugal,PCdoB,BA,3,0,0
220567,Jeferson Rodrigues,PSDB,GO,3,0,0
204355,Da Vitoria,PP,ES,3,0,0
74585,Lincoln Portela,PL,MG,3,0,0
204412,Dr. Zacharias Calil,UNIÃO,GO,3,0,0
74075,Elcione Barbalho,MDB,PA,3,0,0
81055,Márcio Jerry,PCdoB,MA,3,0,0
141431,Fernando Coelho Filho,UNIÃO,PE,3,0,0
160558,Paulo Freire Costa,PL,SP,3,0,0
72442,Felipe Carreras,PSB,PE,3,0,0
178933,Sergio Souza,MDB,PR,3,0,0
178910,Joaquim Passarinho,PL,PA,3,0,0
204462,Chris Tonietto,PL,RJ,3,0,0
143632,Domingos Neto,PSD,CE,3,0,0
220552,Zucco,PL,RS,3,0,0
220581,Luciano Amaral,PSD,AL,3,0,0
133810,Marcelo Moraes,PL,RS,3,0,0
74371,Rubens Otoni,PT,GO,3,0,0
204362,Ricardo Guidi,PL,SC,3,0,0
204506,Marcos Pereira,REPUBLICANOS,SP,3,0,0
234673,Vanderlan Alves,SOLIDARIEDADE,CE,3,0,0
73788,Ricardo Barros,PP,PR,3,0,0
162332,Luiz Nishimori,PSD,PR,3,0,0
74041,Luiz Couto,PT,PB,3,0,0
139285,Lídice da Mata,PSB,BA,3,0,0
204567,Raimundo Costa,PSD,BA,3,0,0
141464,José Airton Félix Cirilo,PT,CE,3,0,0
210989,Bruno Farias,REPUBLICANOS,MG,3,0,0
204416,Sanderson,PL,RS,3,0,0
220673,Delegado Caveira,PL,PA,3,0,0
220663,Eriberto Medeiros,PSB,PE,3,0,0
220556,Ana Paula Lima,PT,SC,3,0,0
220671,Dilvanda Faro,PT,PA,3,0,0
220527,Jack Rocha,PT,ES,3,0,0
204473,General Girão,PL,RN,3,0,0
178927,Aliel Machado,PV,PR,3,0,0
198197,Greyce Elias,AVANTE,MG,3,0,0
204356,Amaro Neto,PP,ES,3,0,0
73701,Benedita da Silva,PT,RJ,3,0,0
178983,Marcio Alvino,PL,SP,3,0,0
178962,Carlos Gomes,REPUBLICANOS,RS,3,0,0
73579,Alberto Fraga,PL,DF,3,0,0
204550,Júnior Mano,PSB,CE,3,0,0
178934,Toninho Wandscheer,PP,PR,3,0,0
204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,3,0,0
178835,Afonso Motta,PDT,RS,3,0,0
220632,Ana Pimentel,PT,MG,3,0,0
74253,Julio Lopes,PP,RJ,3,0,0
74858,Lindbergh Farias,PT,RJ,3,0,0
209189,Joseildo Ramos,PT,BA,3,0,0
160517,Paulo Folletto,PSB,ES,3,0,0
74160,Patrus Ananias,PT,MG,3,0,0
204504,Cezinha de Madureira,PL,SP,3,0,0
220700,Florentino Neto,PT,PI,3,0,0
220549,Any Ortiz,CIDADANIA,RS,3,0,0
204453,Natália Bonavides,PT,RN,3,0,0
204464,Talíria Petrone,PSOL,RJ,3,0,0
220602,Dimas Gadelha,PT,RJ,3,0,0
204369,Caroline de Toni,PL,SC,3,0,0
220699,Castro Neto,MDB,PI,3,0,0
220583,Delegado Fabio Costa,PP,AL,3,0,0
220649,Delegado da Cunha,PP,SP,3,0,0
160598,Flávia Morais,PDT,GO,3,0,0
204557,Sidney Leite,PSD,AM,3,0,0
74554,José Rocha,UNIÃO,BA,3,0,0
178886,Juscelino Filho,PSDB,MA,3,0,0
220675,Antônio Doido,MDB,PA,3,0,0
204539,Hercílio Coelho Diniz,MDB,MG,3,0,0
220542,Alexandre Guimarães,MDB,TO,3,0,0
220676,Andreia Siqueira,PSB,PA,3,0,0
80815,Leo Prates,PDT,BA,3,0,0
220713,Saullo Vianna,MDB,AM,3,0,0
178843,Marx Beltrão,PP,AL,3,0,0
171617,Paulão,PT,AL,3,0,0
204360,Silvia Cristina,PP,RO,3,0,0
73441,Celso Russomanno,REPUBLICANOS,SP,3,0,0
220526,Gilvan da Federal,PL,ES,3,0,0
