apelido,codTipoOrgao,id,nome,nomePublicacao,nomeResumido,sigla,tipoOrgao,uri
1ª Secretaria,1,5470,Primeira Secretaria,1ª Secretaria da Câmara dos Deputados,1ª Secretaria,1SECM,Comissão Diretora,https://dadosabertos.camara.leg.br/api/v2/orgaos/5470
2ª Secretaria,1,5471,Segunda Secretaria da Câmara dos Deputados,2ª Secretaria da Câmara dos Deputados,2ª Secretaria,2SECM,Comissão Diretora,https://dadosabertos.camara.leg.br/api/v2/orgaos/5471
3ª Secretaria,1,5472,Terceira Secretaria,3ª Secretaria da Câmara dos Deputados,3ª Secretaria,3SECM,Comissão Diretora,https://dadosabertos.camara.leg.br/api/v2/orgaos/5472
4ª Secretaria,1,5473,Quarta Secretaria,4ª Secretaria da Câmara dos Deputados,4ª Secretaria,4SECM,Comissão Diretora,https://dadosabertos.camara.leg.br/api/v2/orgaos/5473
Suplência da Mesa,1,5474,Suplência de Secretários da Mesa,Suplência da Mesa,Suplência,SUPLM,Comissão Diretora,https://dadosabertos.camara.leg.br/api/v2/orgaos/5474
Segurança Pública e Combate ao Crime Organizado,2,5503,Comissão de Segurança Pública e Combate ao Crime Organizado,Comissão de Segurança Pública e Combate ao Crime Organizado,Segurança Pública,CSPCCO,Comissão Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503
Comissão Mista de Controle das Atividades de Inteligência,6,5504,Comissão Mista de Controle das Atividades de Inteligência - CCAI,Comissão Mista de Controle das Atividades de Inteligência,Atividades de Inteligência,CMCCAI,Comissão Mista Permanente,https://dadosabertos.camara.leg.br/api/v2/orgaos/5504
MPV36,9,5551,"Abre crédito extraordinário, em favor da Justiça do Trabalho e do Ministério da Integração Nacional, no vlaor global de R$ 124.210.542,00 para os fins que especifica",MPV36,null,MPV03602,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5551
MPV37,9,5552,"Dispõe sobre a estruturação de órgãos, cria cargos em comissão no âmbito do Poder Executivo Federal, e dá outras providências.",MPV37,null,MPV03702,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5552
MPV38,9,5553,"Dispõe sobre o parcelamento de débitos tributários de Estados, do Distrito Federal, de Municípios e de empresas públicas e privadas em processo de falência ou de liquidação, institui regime especial de parcelamento da contribuição para o Programa de Formação do Patrimônio do Servidor Público - PASEP, restabelece prazos para pagamento de débitos tributários, inclusive do imposto de renda incidente sobre lucro inflacionário, concede benefícios fiscais à instalação, ampliação ou modernização de unidades industriais e tratamento tributário isonômico entre produção nacional e a importação de papel-jornal, altera a legislação aduaneira e a relativa à cobrança de direitos antidumping e compensatórios, e dá outras providências.",MPV38,null,MPV03802,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5553
MPV39,9,5554,"Altera a Lei nº 9.615, de 24 de março de 1998, que institui normas gerais sobre desporto e dá outras providências",MPV39,null,MPV03902,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5554
