id_deputado,parlamentar,partido,frente_A,frente_B
162067,Kiko Celeguim,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220543,Ricardo Ayres,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220608,Cristiane Lopes,PODE,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
73778,Luiz Carlos Hauly,PODE,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
204356,Amaro Neto,PP,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
133439,André Figueiredo,PDT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220674,Dra. Alessandra Haber,PODE,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
74374,Geraldo Resende,PSDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220529,Gilson Daniel,PODE,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220697,Jadyel Alencar,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
204391,José Nelto,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
204567,Raimundo Costa,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
178989,Renata Abreu,PODE,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220624,Robinson Faria,PP,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
178934,Toninho Wandscheer,PP,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
121948,Adriano do Baldy,PP,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
160600,Arthur Oliveira Maia,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
210989,Bruno Farias,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
160548,Jonas Donizette,PSB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
141487,Luiz Fernando Faria,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
178992,Vitor Lippi,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220656,Fernanda Pessoa,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220648,Marangoni,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
204570,Pastor Gil,PL,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220564,Yandra Moura,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
160665,Augusto Coutinho,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
178993,Carlos Henrique Gaguim,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
74262,Carlos Sampaio,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
73441,Celso Russomanno,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220528,Dr. Victor Linhalis,PODE,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
160598,Flávia Morais,PDT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
204574,Junior Lourenço,MDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220687,Márcio Honaiser,SOLIDARIEDADE,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
160527,Aguinaldo Ribeiro,PP,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
73579,Alberto Fraga,PL,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
204504,Cezinha de Madureira,PL,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
204395,Pedro Lupion,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
160629,Romero Rodrigues,PODE,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
204560,Adolfo Viana,PSDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
109429,Benes Leocádio,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220670,Iza Arruda,MDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220566,Lêda Borges,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
161440,Pezenti,MDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
153423,Renilce Nicodemos,MDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
160592,Zeca Dirceu,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
74467,Damião Feliciano,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220609,Maurício Carvalho,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220591,Meire Serafim,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
204501,Alencar Santana,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220544,Antonio Andrade,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
74060,Daniel Almeida,PCdoB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
62881,Danilo Forte,PP,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
74158,Mário Heringer,PDT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
74084,Raimundo Santos,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
224333,Welter,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
160559,Alceu Moreira,MDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
160553,Antonio Brito,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220638,Antonio Carlos Rodrigues,PL,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220683,Beto Richa,PSDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220691,Diego Coronel,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
204457,Juninho do Pneu,PSDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
162332,Luiz Nishimori,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
74398,Maria do Rosário,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220651,Simone Marquetto,PP,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
141408,Cleber Verde,MDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220534,Fred Linhares,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
178954,Lucio Mosquini,PL,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
188097,Merlong Solano,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220606,Reimont,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
204358,Beto Pereira,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
178876,Célio Silveira,MDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
204436,Isnaldo Bulhões Jr.,MDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
141464,José Airton Félix Cirilo,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
74554,José Rocha,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
204497,Júnior Ferrari,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220599,Marcelo Crivella,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
160604,Pedro Uczai,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
137070,Vicentinho Júnior,PSDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220699,Castro Neto,MDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
204480,Rogério Correia,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
141555,Vinicius Carvalho,PL,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
191923,Flávio Nogueira,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
178857,Jorge Solla,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220662,Lucas Ramos,PSB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
204410,Luisa Canziani,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
73486,Pompeo de Mattos,PDT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220571,Daniel Agrobom,PL,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
98057,Lafayette de Andrada,PL,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
74856,Laura Carneiro,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
178997,Moses Rodrigues,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220554,Alexandre Lindenmeyer,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
162067,Kiko Celeguim,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220543,Ricardo Ayres,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220697,Jadyel Alencar,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
121948,Adriano do Baldy,PP,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
178992,Vitor Lippi,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220656,Fernanda Pessoa,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220648,Marangoni,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220564,Yandra Moura,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
178993,Carlos Henrique Gaguim,UNIÃO,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
73441,Celso Russomanno,REPUBLICANOS,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220528,Dr. Victor Linhalis,PODE,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220687,Márcio Honaiser,SOLIDARIEDADE,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
204560,Adolfo Viana,PSDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
153423,Renilce Nicodemos,MDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
160592,Zeca Dirceu,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
204501,Alencar Santana,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
74060,Daniel Almeida,PCdoB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
62881,Danilo Forte,PP,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
74158,Mário Heringer,PDT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
74084,Raimundo Santos,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
224333,Welter,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
220683,Beto Richa,PSDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
74398,Maria do Rosário,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
141408,Cleber Verde,MDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
188097,Merlong Solano,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
220606,Reimont,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
204497,Júnior Ferrari,PSD,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
160604,Pedro Uczai,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
137070,Vicentinho Júnior,PSDB,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
204480,Rogério Correia,PT,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais
141555,Vinicius Carvalho,PL,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,Frente Parlamentar em Defesa das Universidades Públicas
