id_deputado,nome_deputado,uf,total_frentes
220652,Delegado Palumbo,SP,24
220665,Clarissa Tércio,PE,24
160558,Paulo Freire Costa,SP,24
74467,Damião Feliciano,PB,24
91228,Waldemar Oliveira,PE,24
74075,Elcione Barbalho,PA,24
220526,Gilvan da Federal,ES,24
204574,Junior Lourenço,MA,23
220570,Dr. Ismael Alexandrino,GO,23
198197,Greyce Elias,MG,23
204409,Daniel Trzeciak,RS,23
220583,Delegado Fabio Costa,AL,23
220624,Robinson Faria,RN,23
220561,Delegada Katarina,SE,23
204364,Eli Borges,TO,23
178972,Alex Manente,SP,22
204408,Gustinho Ribeiro,SE,22
220597,Thiago Flores,RO,22
204425,Silvio Costa Filho,PE,22
166402,Magda Mofatto,GO,22
220586,Rafael Brito,AL,22
209787,Nikolas Ferreira,MG,21
178966,Geovania de Sá,SC,21
204462,Chris Tonietto,RJ,21
178927,Aliel Machado,PR,21
204394,Gervásio Maia,PB,21
73433,Arlindo Chinaglia,SP,20
204474,Juarez Costa,MT,20
220609,Maurício Carvalho,RO,20
141421,Eduardo da Fonte,PE,20
204515,André Janones,MG,20
204460,Carlos Jordy,RJ,20
178962,Carlos Gomes,RS,19
204540,Maria Rosas,SP,19
220657,André Fernandes,CE,19
204450,Doutor Luizinho,RJ,18
220567,Jeferson Rodrigues,GO,18
204459,Daniela do Waguinho,RJ,18
204481,Dr. Jaziel,CE,18
160674,Hugo Motta,PB,18
73768,Dilceu Sperafico,PR,18
220651,Simone Marquetto,SP,18
220546,Rodolfo Nogueira,MS,18
204541,Eduardo Bismarck,CE,18
204539,Hercílio Coelho Diniz,MG,17
220622,Nely Aquino,MG,17
204369,Caroline de Toni,SC,17
226837,Saulo Pedroso,SP,17
220671,Dilvanda Faro,PA,17
220670,Iza Arruda,PE,16
204368,Fabio Schiochet,SC,16
74574,Paulo Magalhães,BA,16
220699,Castro Neto,PI,16
204391,José Nelto,GO,16
141431,Fernando Coelho Filho,PE,16
220585,Mersinho Lucena,PB,16
74079,José Priante,PA,16
221329,Ricardo Abrão,RJ,15
133810,Marcelo Moraes,RS,15
204508,Igor Timo,MG,15
220603,Dani Cunha,RJ,15
74262,Carlos Sampaio,SP,14
178884,Hildo Rocha,MA,14
74454,Eunício Oliveira,CE,14
123086,Átila Lira,PI,14
204411,Filipe Barros,PR,14
220701,Delegado Matheus Laiola,PR,13
178860,Paulo Azi,BA,13
220708,Gabriel Nunes,BA,13
204436,Isnaldo Bulhões Jr.,AL,13
160599,Dimas Fabiano,MG,13
141459,João Maia,RN,13
220642,Delegado Bruno Lima,SP,13
204419,Glaustin da Fokus,GO,12
141516,Paulo Abi-Ackel,MG,12
160591,Vinicius Gurgel,AP,12
175765,Ribamar Silva,SP,12
220582,Daniel Barbosa,AL,12
213762,Carla Dickson,RN,12
178933,Sergio Souza,PR,12
220631,Samuel Viana,MG,12
160527,Aguinaldo Ribeiro,PB,11
204506,Marcos Pereira,SP,11
178983,Marcio Alvino,SP,11
160545,Alexandre Leite,SP,11
205550,Jorge Braz,RJ,11
230765,Enfermeira Rejane,RJ,10
230767,Rodrigo da Zaeli,MT,10
178943,Marcos Soares,RJ,10
220664,Guilherme Uchoa,PE,10
178975,Baleia Rossi,SP,10
74478,Luciano Bivar,PE,9
66385,Julio Arcoverde,PI,9
178854,Elmar Nascimento,BA,9
92699,Fernando Monteiro,PE,9
204549,AJ Albuquerque,CE,9
204498,Olival Marques,PA,9
220544,Antonio Andrade,TO,9
204449,Nelson Barbudo,MT,8
171623,Fabio Reis,SE,8
204362,Ricardo Guidi,SC,8
204496,Celso Sabino,PA,8
179001,Márcio Biolchi,RS,8
220677,Keniston Braga,PA,7
220675,Antônio Doido,PA,7
141533,Rodrigo Rollemberg,DF,6
74646,Aécio Neves,MG,6
204431,Marcos Aurélio Sampaio,PI,6
233594,Rafael Fera,RO,6
204489,Robério Monteiro,CE,6
230768,Zé Adriano,AC,5
178882,André Fufuca,MA,5
73788,Ricardo Barros,PR,4
74400,Paulo Pimenta,RS,4
204353,Aline Gurgel,AP,3
178905,Fabio Garcia,MT,3
178831,André Abdon,AP,3
143084,Tiago Dimas,TO,3
160541,Arthur Lira,AL,3
233592,Paulo Lemos,AP,2
230957,João Cury,SP,2
160552,Danrlei de Deus Hinterholz,RS,2
178886,Juscelino Filho,MA,2
220681,Fábio Macedo,MA,2
141518,Paulinho da Força,SP,2
160561,Missionário José Olimpio,SP,2
234673,Vanderlan Alves,CE,1
154178,Milton Vieira,SP,1
234788,Heloísa Helena,RJ,1
227991,Dr Flávio,RJ,1
220614,Dr. Daniel Soranz,RJ,1
178832,Leandre,PR,1
160641,Professora Marcivania,AP,1
