id,numero,siglaTipo,codTipo,dataApresentacao,ano,ementa
347082,650,PL,139,2007-04-03T18:06:00.000Z,2007,"Acrescenta alínea ""l"" ao art.15 da Lei n° 3.268, de 30 de setembro de 1957, que "" dispõe sobre os Conselhos de Medicina, e dá outras providencias."""
348783,792,PL,139,2007-04-19T16:04:00.000Z,2007,Dispõe sobre a definição de serviços ambientais e dá outras providências.
349407,847,PL,139,2007-04-25T16:05:00.000Z,2007,"Dispõe sobre a proibição da distribuição de sacolas plásticas, derivadas de petróleo, pelos estabelecimentos comerciais em todo o território nacional, e dá outras providências."
105463,251,PL,139,2003-03-07T10:34:00.000Z,2003,"Disciplina o fornecimento de energia elétrica à agricultura irrigada, às glebas que façam parte de programas de reforma agrária ou que tenham área total de até 10 (dez) hectares, e dá outras providências."
109450,620,PL,139,2003-04-02T17:40:00.000Z,2003,"Revigora a Lei nº 2.689, de 20 de Dezembro de 1955, e  dá  outras providências.                              ."
138257,2313,PL,139,2003-10-15T15:57:00.000Z,2003,"Altera dispositivos do Decreto-Lei nº 73, de 21 de novembro de 1966, e dá outras providências."
279850,4969,PL,139,2005-03-30T14:45:00.000Z,2005,"Altera a Lei nº 10.741, de 1º de outubro de 2003, que ""dispõe sobre o Estatuto do Idoso e dá outras providências"", para assegurar a gratuidade dos transportes coletivos públicos rurais aos idosos maiores de sessenta e cinco anos."
340943,182,PL,139,2007-02-15T11:00:00.000Z,2007,Dispoe sobre bloqueio judicial de conta bancária.
343463,294,PL,139,2007-03-05T19:02:00.000Z,2007,Institui a obrigatoriedade de identificação dos apostadores das loterias e concursos de prognósticos administrados pela Caixa Econômica Federal.
346155,580,PL,139,2007-03-27T18:41:00.000Z,2007,"Altera a Lei nº 10.406, de 10 de janeiro de 2002 - Código Civil, para dispor sobre  o contrato civil de união homoafetiva."
104798,124,PL,139,2003-02-20T14:27:00.000Z,2003,"Acrescenta alíneas ao inciso III do art. 1º da Lei nº 7.960, de 21 de dezembro de 1989, que dispõe sobre prisão temporária."
110593,724,PL,139,2003-04-09T19:46:00.000Z,2003,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que ""Institui o Código de Trânsito Brasileiro"", para dispor sobre circulação de veículos de tração e crimes de trânsito."
159273,3293,PL,139,2004-03-31T20:09:00.000Z,2004,Obriga a Caixa Econômica Federal a divulgar os premiados nas loterias que administra.
339976,16,PL,139,2007-02-05T14:13:00.000Z,2007,"Dispõe sobre as condições para a autorização, o reconhecimento e a renovação de reconhecimento de cursos de graduação em Medicina e para o credenciamento e o recredenciamento de instituições de ensino que os oferecem."
349189,816,PL,139,2007-04-24T16:34:00.000Z,2007,"Dispõe sobre a oferta de outras opções no combate as Doenças Sexualmente Transmissíveis  - DST e AIDS, além do uso dos preservativos, como forma de aumentar a eficiência dos métodos preventivos e resultados esperados."
350962,1012,PL,139,2007-05-09T18:04:00.000Z,2007,"Identifica pelo número de inscrição no Cadastro de Pessoas Físicas do Ministério da Fazenda, o apostador de jogos de loteria explorados pela Caixa Econômica Federal  e dá outras providências."
