id_orgao,nome_orgao,sigla_orgao,tipo_orgao,apelido_orgao,nome_publicacao
5356,Conselho da República. (Art. 89 da CF),CONSE99,Conselho,CONSELHO DA REPÚBLICA,CONSELHO DA REPÚBLICA
5503,Comissão de Segurança Pública e Combate ao Crime Organizado,CSPCCO,Comissão Permanente,Segurança Pública e Combate ao Crime Organizado,Comissão de Segurança Pública e Combate ao Crime Organizado
5591,Regulamenta o art. 8º do Ato das Disposições Constitucionais Transitórias e dá outras providências.,MPV06502,Comissão Medida Provisória,MPV65,MPV65
5939,Dispõe sobre a concessão da aposentadoria especial ao cooperado de cooperativa de trabalho ou de produção e dá outras providências.,MPV08302,Comissão Medida Provisória,MPV83,MPV83
325,MIC,MIC,Órgão da Câmara dos Deputados,MIC,MIC
2009,Comissão de Educação,CE,Comissão Permanente,Educação,Comissão de Educação
5468,Primeira Vice-Presidência,1VIPR,Comissão Diretora,1ª Vice-Presidência,1ª Vice-Presidência da Câmara dos Deputados
5592,"Dispõe sobre a não cumulatividade na cobrança da contribuição para os Programas de Integração Social (PIS) e de Formação do Patrimônio do Servidor Público (Pasep), nos casos que espedifica; sobre os procedimentos para desconsideração de atos ou negócio jurídicos, para fins tributários; sobre o pagamento e o parcelamento de débitos tributários federais, a compensação de créditos fiscais, a compensação de créditos fiscais, a declaração de inaptidão de inscrição de pessoas jurídicas, a legislação aduaneira, e dá outras providências.",MPV06602,Comissão Medida Provisória,MPV66,MPV66
5593,"Dispõe sobre o tratamento tributário dispensado às empresas de transporte aéreo, e dá outras providências.",MPV06702,Comissão Medida Provisória,MPV67,MPV67
5555,"Abre crédito extraordinário, no valor de R$ 326.075.000,00, em favor do Ministério de Minas e Energia, para os fins que especifica",MPV04002,Comissão Medida Provisória,MPV40,MPV40
5572,"Dispõe sobre a reestruturação da Carreira de Auditoria do Tesouro Nacional, que passa a denominar-se Carreira Auditoria da Receita Federal - ARE, e sobre a organização da Carreira Auditoria-Fiscal da Previdência Social e da Carreira Auditoria-Fiscal do Trabalho, e dá outras providências.",MPV04602,Comissão Medida Provisória,MPV46,MPV46
399,CONSELHO DE MINISTÉRIOS,CMIN,Órgão da Câmara dos Deputados,CONSELHO DE MINISTÉRIOS,CONSELHO DE MINISTÉRIOS
1002,Coordenação de Comissões Temporárias,CCT,Órgão da Câmara dos Deputados,Coordenação de Comissões Temporárias,Coordenação de Comissões Temporárias
2014,Comissão de Saúde,CSAUDE,Comissão Permanente,Saúde,Comissão de Saúde
5936,"Altera o art. 5º da Lei nº 8.427, de 27 de maio de 1992, que dispõe sobre a concessão de subvenção econômica na operação de crédito rural.",MPV08002,Comissão Medida Provisória,MPV80,MPV80
